date_time,brawler_name,result,current_trophies,trophy_delta,new_winstreak,playstyle_hash,playstyle_name,playstyle_gamemodes,playstyle_brawlers,pyla_version,power_level
2026-06-13T11:20:43.991338,mrp,draw,1000,0,0,fa31452594129afcc3bc007f868416472974b38f6ea3a923fdced32d1344a7a5,Showdown Follower,trio showdown,all,0.8.1,-1
2026-06-13T11:23:49.443470,mrp,victory,1000,5,1,fa31452594129afcc3bc007f868416472974b38f6ea3a923fdced32d1344a7a5,Showdown Follower,trio showdown,all,0.8.1,-1
2026-06-13T11:26:24.603862,mrp,victory,1006,12,2,fa31452594129afcc3bc007f868416472974b38f6ea3a923fdced32d1344a7a5,Showdown Follower,trio showdown,all,0.8.1,-1
2026-06-13T11:27:32.406286,mrp,defeat,1019,-6,0,fa31452594129afcc3bc007f868416472974b38f6ea3a923fdced32d1344a7a5,Showdown Follower,trio showdown,all,0.8.1,-1
2026-06-13T11:30:54.754720,bea,victory,1013,11,1,fa31452594129afcc3bc007f868416472974b38f6ea3a923fdced32d1344a7a5,Showdown Follower,trio showdown,all,0.8.1,-1
2026-06-13T11:32:00.331193,bea,defeat,1019,-6,0,fa31452594129afcc3bc007f868416472974b38f6ea3a923fdced32d1344a7a5,Showdown Follower,trio showdown,all,0.8.1,-1
2026-06-13T11:34:02.765869,bea,draw,1013,0,0,fa31452594129afcc3bc007f868416472974b38f6ea3a923fdced32d1344a7a5,Showdown Follower,trio showdown,all,0.8.1,-1
2026-06-13T11:35:30.308187,bea,draw,1013,0,0,fa31452594129afcc3bc007f868416472974b38f6ea3a923fdced32d1344a7a5,Showdown Follower,trio showdown,all,0.8.1,-1
2026-06-13T11:38:31.206840,bea,victory,1013,5,1,fa31452594129afcc3bc007f868416472974b38f6ea3a923fdced32d1344a7a5,Showdown Follower,trio showdown,all,0.8.1,-1
2026-06-13T11:41:16.829097,bea,victory,1018,12,2,fa31452594129afcc3bc007f868416472974b38f6ea3a923fdced32d1344a7a5,Showdown Follower,trio showdown,all,0.8.1,-1
2026-06-13T11:43:13.736860,bea,victory,1030,13,3,fa31452594129afcc3bc007f868416472974b38f6ea3a923fdced32d1344a7a5,Showdown Follower,trio showdown,all,0.8.1,-1
2026-06-13T11:46:01.690717,bea,draw,1043,0,3,fa31452594129afcc3bc007f868416472974b38f6ea3a923fdced32d1344a7a5,Showdown Follower,trio showdown,all,0.8.1,-1
2026-06-13T11:47:17.314819,bea,defeat,1043,-6,0,fa31452594129afcc3bc007f868416472974b38f6ea3a923fdced32d1344a7a5,Showdown Follower,trio showdown,all,0.8.1,-1
2026-06-13T11:49:47.162207,bea,victory,1037,11,1,fa31452594129afcc3bc007f868416472974b38f6ea3a923fdced32d1344a7a5,Showdown Follower,trio showdown,all,0.8.1,-1
2026-06-13T11:52:14.983789,bea,victory,1048,12,2,fa31452594129afcc3bc007f868416472974b38f6ea3a923fdced32d1344a7a5,Showdown Follower,trio showdown,all,0.8.1,-1
2026-06-13T11:54:05.957531,bea,defeat,1060,-6,0,fa31452594129afcc3bc007f868416472974b38f6ea3a923fdced32d1344a7a5,Showdown Follower,trio showdown,all,0.8.1,-1
2026-06-13T11:56:09.633778,bea,draw,1054,0,0,fa31452594129afcc3bc007f868416472974b38f6ea3a923fdced32d1344a7a5,Showdown Follower,trio showdown,all,0.8.1,-1
2026-06-13T11:59:04.939118,bea,victory,1054,5,1,fa31452594129afcc3bc007f868416472974b38f6ea3a923fdced32d1344a7a5,Showdown Follower,trio showdown,all,0.8.1,-1
2026-06-13T12:01:16.698105,bea,victory,1059,12,2,fa31452594129afcc3bc007f868416472974b38f6ea3a923fdced32d1344a7a5,Showdown Follower,trio showdown,all,0.8.1,-1
2026-06-13T12:02:06.885343,bea,defeat,1071,-6,0,fa31452594129afcc3bc007f868416472974b38f6ea3a923fdced32d1344a7a5,Showdown Follower,trio showdown,all,0.8.1,-1
2026-06-13T18:15:18.571176,pierce,draw,0,5,0,fa31452594129afcc3bc007f868416472974b38f6ea3a923fdced32d1344a7a5,Showdown Follower,trio showdown,all,0.8.1,-1
2026-06-13T19:24:15.857013,pierce,draw,1020,0,0,fa31452594129afcc3bc007f868416472974b38f6ea3a923fdced32d1344a7a5,Showdown Follower,trio showdown,all,0.8.1,-1
2026-06-13T20:31:40.935468,pierce,draw,1036,0,0,fa31452594129afcc3bc007f868416472974b38f6ea3a923fdced32d1344a7a5,Showdown Follower,trio showdown,all,0.8.1,-1
2026-06-13T20:33:20.959667,pierce,draw,1035,0,0,fa31452594129afcc3bc007f868416472974b38f6ea3a923fdced32d1344a7a5,Showdown Follower,trio showdown,all,0.8.1,-1
2026-06-13T20:38:13.234740,pierce,victory,1035,5,1,fa31452594129afcc3bc007f868416472974b38f6ea3a923fdced32d1344a7a5,Showdown Follower,trio showdown,all,0.8.1,-1
2026-06-13T20:48:26.361246,pierce,victory,1041,12,2,fa31452594129afcc3bc007f868416472974b38f6ea3a923fdced32d1344a7a5,Showdown Follower,trio showdown,all,0.8.1,-1
2026-06-13T20:50:39.929542,pierce,defeat,1054,-6,0,fa31452594129afcc3bc007f868416472974b38f6ea3a923fdced32d1344a7a5,Showdown Follower,trio showdown,all,0.8.1,-1
2026-06-13T20:56:25.918183,pierce,victory,1048,11,1,fa31452594129afcc3bc007f868416472974b38f6ea3a923fdced32d1344a7a5,Showdown Follower,trio showdown,all,0.8.1,-1
2026-06-13T21:02:06.915537,pierce,defeat,1059,-6,0,fa31452594129afcc3bc007f868416472974b38f6ea3a923fdced32d1344a7a5,Showdown Follower,trio showdown,all,0.8.1,-1
2026-06-13T21:07:49.468048,pierce,defeat,1053,-6,0,fa31452594129afcc3bc007f868416472974b38f6ea3a923fdced32d1344a7a5,Showdown Follower,trio showdown,all,0.8.1,-1
2026-06-13T21:09:20.185572,pierce,defeat,1047,-6,0,fa31452594129afcc3bc007f868416472974b38f6ea3a923fdced32d1344a7a5,Showdown Follower,trio showdown,all,0.8.1,-1
2026-06-13T21:11:16.342521,pierce,victory,1041,11,1,fa31452594129afcc3bc007f868416472974b38f6ea3a923fdced32d1344a7a5,Showdown Follower,trio showdown,all,0.8.1,-1
2026-06-13T21:20:00.283738,pierce,defeat,1052,-6,0,fa31452594129afcc3bc007f868416472974b38f6ea3a923fdced32d1344a7a5,Showdown Follower,trio showdown,all,0.8.1,-1
2026-06-13T21:24:05.973196,pierce,draw,1052,0,0,fa31452594129afcc3bc007f868416472974b38f6ea3a923fdced32d1344a7a5,Showdown Follower,trio showdown,all,0.8.1,-1
2026-06-13T21:36:04.000925,pierce,defeat,1052,-6,0,fa31452594129afcc3bc007f868416472974b38f6ea3a923fdced32d1344a7a5,Showdown Follower,trio showdown,all,0.8.1,-1
2026-06-13T21:36:42.565786,pierce,defeat,1040,-6,0,fa31452594129afcc3bc007f868416472974b38f6ea3a923fdced32d1344a7a5,Showdown Follower,trio showdown,all,0.8.1,-1
2026-06-13T21:37:57.929467,pierce,draw,1040,0,0,fa31452594129afcc3bc007f868416472974b38f6ea3a923fdced32d1344a7a5,Showdown Follower,trio showdown,all,0.8.1,-1
